Process,Rule,Description,Count,Timestamp
ESLint,no-alert,N/A,1,2025-01-02 21:59:47
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-03 15:44:49
ESLint,jest/expect-expect,N/A,77,2025-01-03 15:44:49
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-03 15:44:49
ESLint,react-hooks/exhaustive-deps,N/A,232,2025-01-03 15:44:49
ESLint,react/no-danger,N/A,3,2025-01-03 15:44:49
ESLint,testing-library/no-debugging-utils,N/A,2,2025-01-03 15:44:49
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-03 15:44:49
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-03 15:44:49
ESLint,no-console,"We don't want a bunch of console noise, but you can use the `logger` from `@superset-ui/core` when there's a reason to.",22,2025-01-03 15:44:49
ESLint,react/forbid-foreign-prop-types,N/A,2,2025-01-03 15:44:49
ESLint,@typescript-eslint/no-use-before-define,N/A,8,2025-01-03 15:44:49
ESLint,jest/no-disabled-tests,N/A,7,2025-01-03 15:44:49
ESLint,no-alert,N/A,1,2025-01-03 15:44:49
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-03 18:28:54
ESLint,jest/expect-expect,N/A,77,2025-01-03 18:28:54
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-03 18:28:54
ESLint,react-hooks/exhaustive-deps,N/A,232,2025-01-03 18:28:54
ESLint,react/no-danger,N/A,3,2025-01-03 18:28:54
ESLint,testing-library/no-debugging-utils,N/A,2,2025-01-03 18:28:54
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-03 18:28:54
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-03 18:28:54
ESLint,no-console,"We don't want a bunch of console noise, but you can use the `logger` from `@superset-ui/core` when there's a reason to.",22,2025-01-03 18:28:54
ESLint,react/forbid-foreign-prop-types,N/A,2,2025-01-03 18:28:54
ESLint,@typescript-eslint/no-use-before-define,N/A,8,2025-01-03 18:28:54
ESLint,jest/no-disabled-tests,N/A,7,2025-01-03 18:28:54
ESLint,no-alert,N/A,1,2025-01-03 18:28:54
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-03 18:59:15
ESLint,jest/expect-expect,N/A,77,2025-01-03 18:59:15
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-03 18:59:15
ESLint,react-hooks/exhaustive-deps,N/A,232,2025-01-03 18:59:15
ESLint,react/no-danger,N/A,3,2025-01-03 18:59:15
ESLint,testing-library/no-debugging-utils,N/A,2,2025-01-03 18:59:15
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-03 18:59:15
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-03 18:59:15
ESLint,no-console,"We don't want a bunch of console noise, but you can use the `logger` from `@superset-ui/core` when there's a reason to.",22,2025-01-03 18:59:15
ESLint,react/forbid-foreign-prop-types,N/A,2,2025-01-03 18:59:15
ESLint,@typescript-eslint/no-use-before-define,N/A,8,2025-01-03 18:59:15
ESLint,jest/no-disabled-tests,N/A,7,2025-01-03 18:59:15
ESLint,no-alert,N/A,1,2025-01-03 18:59:15
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-03 21:18:30
ESLint,jest/expect-expect,N/A,77,2025-01-03 21:18:30
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-03 21:18:30
ESLint,react-hooks/exhaustive-deps,N/A,232,2025-01-03 21:18:30
ESLint,react/no-danger,N/A,3,2025-01-03 21:18:30
ESLint,testing-library/no-debugging-utils,N/A,2,2025-01-03 21:18:30
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-03 21:18:30
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-03 21:18:30
ESLint,no-console,"We don't want a bunch of console noise, but you can use the `logger` from `@superset-ui/core` when there's a reason to.",22,2025-01-03 21:18:30
ESLint,react/forbid-foreign-prop-types,N/A,2,2025-01-03 21:18:30
ESLint,@typescript-eslint/no-use-before-define,N/A,8,2025-01-03 21:18:30
ESLint,jest/no-disabled-tests,N/A,7,2025-01-03 21:18:30
ESLint,no-alert,N/A,1,2025-01-03 21:18:30
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-03 21:19:58
ESLint,jest/expect-expect,N/A,77,2025-01-03 21:19:58
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-03 21:19:58
ESLint,react-hooks/exhaustive-deps,N/A,232,2025-01-03 21:19:58
ESLint,react/no-danger,N/A,3,2025-01-03 21:19:58
